 Rank  Player  Age  Elo  HardRaw  ClayRaw  GrassRaw  hElo  cElo  gElo  Peak Match  Peak Age  Peak Elo  
 44  Aslan Karatsev  30.1  1795.8  1660.7  1751.2  1394.0  1728.2  1773.5  1594.9  2021 Rome R32  27.6  1958.8  
 45  Miomir Kecmanovic  24.3  1793.3  1721.5  1651.4  1471.2  1757.4  1722.4  1632.3  2022 Munich QF  22.6  1895.3  
 46  Marton Fucsovics  31.9  1790.1  1654.3  1657.9  1693.3  1722.2  1724.0  1741.7  2021 Miami R64  29.1  1924.6  
 47  Laslo Djere  28.6  1789.7  1630.6  1744.2  1449.9  1710.1  1767.0  1619.8  2023 Davis Cup Finals RR  28.2  1836.7  
 48  Sebastian Baez  23.0  1789.5  1587.9  1782.2  1413.5  1688.7  1785.9  1601.5  2022 Bastad SF  21.5  1934.6  
 49  Botic Van De Zandschulp  28.2  1789.5  1718.3  1669.7  1502.4  1753.9  1729.6  1645.9  2022 Tel Aviv R32  26.9  1929.1  
 50  John Isner  38.3  1788.0  1686.2  1699.5  1669.8  1737.1  1743.7  1728.9  2012 US Open R64  27.3  2039.9  
 51  Roberto Bautista Agut  35.7  1786.7  1687.1  1681.0  1699.9  1736.9  1733.8  1743.3  2016 Rotterdam R16  27.8  2014.5  
 52  Sebastian Ofner  27.6  1785.2  1638.5  1732.7  1571.4  1711.8  1759.0  1678.3  2024 Auckland R32  27.6  1814.1  
 53  Lorenzo Sonego  28.6  1782.9  1670.4  1696.5  1558.6  1726.6  1739.7  1670.7  2021 Rome QF  25.9  1888.0  
 54  Yibing Wu  23.8  1780.0  1761.4  1490.1  1371.0  1770.7  1635.1  1575.5  2023 Indian Wells R128  23.3  1874.5  
 55  Brandon Nakashima  22.4  1778.9  1695.0  1551.2  1541.2  1736.9  1665.0  1660.0  2021 NextGen Finals RR  20.2  1897.7  
 56  Mikael Ymer  24.8  1778.0  1700.2  1558.6  1526.2  1739.1  1668.3  1652.1  2019 Stockholm R32  21.0  1875.5  
 57  Lorenzo Musetti  21.8  1777.6  1623.8  1846.0  1479.4  1700.7  1811.8  1628.5  2022 Paris R16  20.6  1925.4  
 58  Tomas Martin Etcheverry  24.4  1775.0  1634.6  1724.7  1332.2  1704.8  1749.9  1553.6  2023 Roland Garros R16  23.8  1845.4  
 59  Jakub Mensik  18.3  1770.8  1685.1  1565.7  -  1727.9  1668.3  1585.4  2023 Davis Cup Finals RR  18.0  1771.8  
 60  Daniel Evans  33.6  1770.6  1704.3  1602.8  1607.0  1737.5  1686.7  1688.8  2021 Monte Carlo QF  30.8  1887.5  
 61  Fabian Marozsan  24.2  1769.4  1651.6  1624.7  1442.9  1710.5  1697.0  1606.1  2024 Australian Open R64  24.2  1779.2  
 62  Marcos Giron  30.4  1766.4  1674.7  1593.3  1501.7  1720.6  1679.9  1634.1  2021 Paris R32  28.2  1843.2  
 63  Dominic Thiem  30.3  1763.1  1690.0  1675.4  1453.8  1726.5  1719.3  1608.5  2016 Halle R16  22.7  2123.5  
 64  Nuno Borges  26.9  1762.2  1683.3  1618.6  1427.1  1722.8  1690.4  1594.6  2023 Miami Qual  26.0  1794.4  
 65  Mackenzie Mcdonald  28.7  1761.5  1691.0  1453.6  1579.6  1726.2  1607.6  1670.6  2023 Miami R64  27.9  1832.9  
 66  Zhizhen Zhang  27.2  1760.8  1601.7  1693.8  1432.8  1681.2  1727.3  1596.8  2022 Astana R32  25.9  1770.4  
 67  Arthur Cazaux  21.3  1757.9  1698.2  1393.6  1528.2  1728.1  1575.8  1643.1  2024 Australian Open R32  21.3  1765.8  
 68  Thanasi Kokkinakis  27.7  1754.8  1687.2  1683.3  1341.2  1721.0  1719.1  1548.0  2015 Queen's Club R32  19.1  1867.8  
 69  Christopher Eubanks  27.6  1753.8  1616.1  1378.6  1706.6  1684.9  1566.2  1730.2  2023 Atlanta R16  27.2  1848.0  
 70  Dominik Koepfer  29.7  1753.4  1649.2  1741.4  1476.2  1701.3  1747.4  1614.8  2020 Hamburg R32  26.3  1788.7  
 71  Borna Gojo  25.8  1752.3  1699.6  1562.4  1298.1  1726.0  1657.4  1525.2  2023 Vienna R16  25.6  1789.1  
 72  Alexei Popyrin  24.4  1746.1  1598.1  1788.8  1439.5  1672.1  1767.4  1592.8  2021 Madrid R32  21.7  1809.8  
 73  Alexander Shevchenko  23.1  1744.7  1645.4  1593.2  1377.7  1695.1  1669.0  1561.2  2024 Adelaide R32  23.1  1788.1  
 74  J J Wolf  25.0  1744.6  1646.6  1557.2  1469.2  1695.6  1650.9  1606.9  2023 Dallas QF  24.1  1845.0  
 75  Diego Schwartzman  31.4  1741.6  1653.0  1724.0  1503.0  1697.3  1732.8  1622.3  2020 Paris R16  28.2  1973.3  
 76  Pavel Kotov  25.1  1740.8  1640.5  1612.9  1456.7  1690.6  1676.8  1598.7  2024 Hong Kong R16  25.1  1757.9  
 77  Hamad Medjedovic  20.4  1739.7  1595.4  1676.6  1503.9  1667.6  1708.1  1621.8  2023 Astana QF  20.1  1793.8  
 78  Fabio Fognini  36.6  1739.4  1595.6  1741.9  1600.5  1667.5  1740.7  1670.0  2014 Munich SF  26.9  2007.9  
 79  Dusan Lajovic  33.5  1737.6  1592.7  1696.6  1276.2  1665.2  1717.1  1506.9  2018 Beijing R16  28.2  1845.7  
 80  Lukas Klein  25.8  1733.5  1666.3  1517.6  1481.1  1699.9  1625.6  1607.3  2024 Australian Open Qual  25.8  1733.5  
 81  Juncheng Shang  19.0  1733.2  1665.5  1430.8  1412.8  1699.4  1582.0  1573.0  2024 Australian Open R64  19.0  1733.2  
 82  Christopher Oconnell  29.6  1731.7  1623.9  1585.2  1560.1  1677.8  1658.4  1645.9  2023 Madrid R128  28.8  1766.8  
 83  Filip Krajinovic  31.2  1729.7  1635.1  1672.6  1546.3  1682.4  1701.2  1638.0  2020 Rome R32  28.5  1939.4  
 84  David Goffin  33.1  1729.7  1638.3  1701.1  1669.9  1684.0  1715.4  1699.8  2017 Rome R32  26.4  2038.8  
 85  Luca Van Assche  19.6  1729.6  1637.7  1641.3  1354.8  1683.7  1685.5  1542.2  2023 Estoril R32  18.8  1780.3  
 86  Cristian Garin  27.6  1727.7  1573.5  1707.6  1641.2  1650.6  1717.6  1684.4  2021 Bastad R16  25.1  1888.4  
 87  Daniel Altmaier  25.3  1723.1  1573.2  1709.3  1386.2  1648.1  1716.2  1554.6  2021 Luedenscheid CH F  22.9  1779.5  
 88  Yannick Hanfmann  32.1  1721.7  1532.9  1716.8  1487.2  1627.3  1719.3  1604.5  2023 Roland Garros Qual  31.5  1829.9  
 89  Alejandro Tabilo  26.6  1716.8  1696.4  1580.5  1384.5  1706.6  1648.6  1550.6  2022 Sarasota CH QF  24.8  1790.8  
 90  Maximilian Marterer  28.5  1713.9  1645.2  1525.1  1564.7  1679.6  1619.5  1639.3  2018 Stuttgart R32  22.9  1804.7  
 91  Taro Daniel  30.9  1713.7  1669.5  1529.7  1366.0  1691.6  1621.7  1539.8  2023 Monte Carlo Qual  30.1  1746.6  
 92  Soon Woo Kwon  26.1  1712.9  1632.4  1529.8  1465.6  1672.7  1621.3  1589.2  2023 Adelaide 2 F  25.1  1822.2  
 93  Leandro Riedi  21.9  1711.6  1650.8  1403.8  1420.1  1681.2  1557.7  1565.9  2023 Canberra CH SF  20.9  1809.7  
 94  Alex Michelsen  19.3  1710.5  1618.5  1257.9  1588.1  1664.5  1484.2  1649.3  2023 Newport SF  18.8  1769.9  
 95  Jason Kubler  30.6  1709.5  1544.9  1548.1  1664.0  1627.2  1628.8  1686.7  2022 Newport QF  29.1  1791.4  
 96  Yosuke Watanuki  25.7  1704.4  1639.3  1532.6  1531.3  1671.8  1618.5  1617.9  2023 Madrid R128  25.0  1788.4  
 97  Dominic Stricker  21.2  1703.6  1606.4  1535.0  1616.4  1655.0  1619.3  1660.0  2023 Us Open Qual  21.0  1792.7  
 98  Quentin Halys  27.2  1699.6  1579.3  1584.0  1543.4  1639.4  1641.8  1621.5  2023 Estoril QF  26.4  1796.5  
 99  Thiago Monteiro  29.6  1697.9  1549.0  1660.8  1431.9  1623.5  1679.4  1564.9  2022 Paris Qual  28.4  1731.6  
 100  Guido Pella  33.2  1695.6  1625.7  1630.6  1547.0  1660.7  1663.1  1621.3  2019 Cincinnati R64  29.2  1869.3  
 101  Roberto Carballes Baena  30.8  1695.2  1499.1  1675.3  1397.7  1597.2  1685.3  1546.5  2023 Seville CH F  30.4  1758.1  
 102  Facundo Diaz Acosta  23.0  1692.1  1344.0  1670.8  1308.2  1518.1  1681.4  1500.2  2023 Winston-Salem R64  22.6  1757.1  
 103  Flavio Cobolli  21.6  1691.6  1591.1  1600.6  1272.7  1641.4  1646.1  1482.1  2024 Australian Open Qual  21.6  1696.3  
 104  Aleksandar Kovacevic  25.3  1688.1  1633.7  1139.6  1335.7  1660.9  1413.9  1511.9  2023 Phoenix CH R16  24.5  1739.2  
 105  Richard Gasquet  37.5  1684.7  1605.9  1589.3  1565.7  1645.3  1637.0  1625.2  2013 Monte Carlo R16  26.8  2052.1  
 106  Hugo Gaston  23.3  1683.1  1597.3  1655.1  1403.3  1640.2  1669.1  1543.2  2021 Paris R16  21.0  1783.8  
 107  Dino Prizmic  18.4  1682.0  1541.8  1590.7  -  1611.9  1636.4  1541.0  2023 Istanbul CH R16  18.0  1686.7  
 108  Lloyd Harris  26.8  1680.9  1591.0  1541.0  1511.5  1636.0  1611.0  1596.2  2021 Antwerp QF  24.6  1890.0  
 109  Rinky Hijikata  22.8  1673.7  1583.9  1086.7  1551.6  1628.8  1380.2  1612.7  2024 Brisbane R16  22.8  1702.3  
 110  Gregoire Barrere  29.9  1671.7  1563.8  1487.2  1559.5  1617.7  1579.4  1615.6  2023 Marseille R32  29.0  1796.0  
